"Real","Predicted","Probability"
0,0,0.045828909969572
0,0,0.0433369963010706
0,0,0.0338088178268999
0,0,0.0635780947657827
1,0,0.0159256211612974
0,0,0.0335832154709107
0,0,0.0179987018491999
0,0,0.0565371605632611
0,0,0.0396607506279956
1,0,0.0346488570202618
0,0,0.0316761327949134
0,0,0.0280850829467676
0,0,0.0106394586747808
0,0,0.0461209961869641
1,0,0.0412909335965413
0,0,0.0308655203599553
0,0,0.0606092925884183
0,0,0.0889036310496685
0,0,0.0381457744458889
0,0,0.0285836681434795
0,0,0.0115788763244185
0,0,0.0290425185215442
0,0,0.0267631716802427
0,0,0.0734627189048379
0,0,0.0626529455923113
0,0,0.109545606673884
0,0,0.0784569389754521
0,0,0.0368619556782031
0,0,0.0128320562149287
0,0,0.101689040716399
0,0,0.0403190060336185
0,0,0.0242300698885689
0,0,0.108097825741189
0,0,0.0909383088049811
0,0,0.077573368881486
0,0,0.0153231494476359
0,0,0.0490531524514964
1,0,0.0351870813442451
0,0,0.0434454893603623
0,0,0.0477032735261202
0,0,0.007287763974064
0,0,0.0600214538473879
1,0,0.05429517334452
0,0,0.0844126628547101
0,0,0.0525306619966543
1,0,0.0334431906195431
0,0,0.0242106568789013
0,0,0.1046503823345
0,0,0.130225540446671
0,0,0.0408871616856226
0,0,0.0218547572219939
0,0,0.0111898041409754
0,0,0.0594632664269016
0,0,0.0156492081502465
0,0,0.0942636504914445
0,0,0.0335766827885101
0,0,0.0150115510816221
0,0,0.072077289758691
0,0,0.053294948799501
0,0,0.107136701148912
0,0,0.0602550042742912
0,0,0.0244877904647334
0,0,0.0402748058545232
0,0,0.0331992905953419
0,0,0.0203069354248461
1,0,0.108097825741189
0,0,0.0281839801779644
0,0,0.0266699099989186
0,0,0.0223027576528291
1,0,0.106982978658348
0,0,0.0225782982187817
0,0,0.059063325311882
1,0,0.0254141956257556
0,0,0.0547961249658337
0,0,0.120602268091085
1,0,0.0620434177414624
0,0,0.0470520319737725
0,0,0.043508531051337
0,0,0.0206256141202679
0,0,0.0212065496298184
0,0,0.0235296289321977
0,0,0.0594632664269016
0,0,0.0357158097799975
0,0,0.0403812217707583
0,0,0.0622185401452716
0,0,0.0429731040756858
0,0,0.06106986041608
0,0,0.0178184847379326
0,0,0.0234608712694742
0,0,0.0340701472395997
0,0,0.0236081458080927
0,0,0.0294652451955229
0,0,0.0243569635061326
0,0,0.0601162560712816
0,0,0.0231906723018746
0,0,0.0182135529672524
0,0,0.00509812181176314
0,0,0.0336347019404756
0,0,0.0564109503008171
0,0,0.0127952740806515
0,0,0.0594632664269016
0,0,0.0258259609935835
0,0,0.0362485226797423
0,0,0.0227678506034979
0,0,0.0224421068927641
0,0,0.0237777686310498
0,0,0.0185100059118934
0,0,0.0527166853802915
0,0,0.103009559254362
0,0,0.0800383494359184
0,0,0.0310537909213987
0,0,0.0307646275000669
1,0,0.0388338242380807
0,0,0.0409370587940715
0,0,0.0164791117577938
0,0,0.0702273778298961
0,0,0.0537305224752709
1,0,0.112659815427528
0,0,0.0261916441252547
0,0,0.0379244541273816
0,0,0.00724021631930117
0,0,0.037672360459152
0,0,0.0615235442836731
0,0,0.0205903382042065
0,0,0.0353766179071267
0,0,0.0177859422631728
0,0,0.0909481597563671
0,0,0.0760372337863811
0,0,0.0846973356025596
0,0,0.106982978658348
0,0,0.105240612342791
0,0,0.044242714052369
0,0,0.0148174032337874
0,0,0.107025397116881
0,0,0.0318644971141634
0,0,0.0281691875888631
0,0,0.00710860284960066
0,0,0.0594632664269016
0,0,0.0909973573032405
0,0,0.00945069799836055
0,0,0.0494291795653788
0,0,0.0235253240557707
0,0,0.063398941501181
0,0,0.0836849723015936
0,0,0.0468510443491527
0,0,0.0246601738073114
1,0,0.0248074655573153
0,0,0.0330276544028515
0,0,0.0156801001660089
0,0,0.0157067775742196
0,0,0.0654851042728865
0,0,0.0511025403048751
0,0,0.0354057307308234
0,0,0.0230516880610698
0,0,0.0246110264662013
0,0,0.0203285098419324
0,0,0.0476245230568029
1,0,0.126896437035495
0,0,0.0370242115181505
0,0,0.0275236628308009
0,0,0.0490479848105024
0,0,0.0758606581395323
0,0,0.00318304224778872
0,0,0.00415378917298263
0,0,0.0238512508390007
0,0,0.0610096486107241
0,0,0.00161335498881506
0,0,0.00985457173256703
0,0,0.0532265291095771
1,0,0.00598822507843068
0,0,0.0594632664269016
0,0,0.00954160947654104
0,0,0.029966101867308
0,0,0.00829918845553643
0,0,0.0176393134070567
0,0,0.0236608881705716
0,0,0.0525565662696214
0,0,0.00212417966324761
0,0,0.0392825316202191
0,0,0.0490811423747655
0,0,0.0695060677393455
0,0,0.0682394064029814
0,0,0.0733777928932672
0,0,0.0144489954560307
0,0,0.0322227611742731
